timestamp_utc,scenario,request_region,selected_region,cross_region_reroute,latency_ms,http_code,selected_carbon_intensity_g_per_kwh,zone_filter_reasons,carbon_saved_vs_worst_g_per_kwh,carbon_saved_vs_worst_percent,decision_reason,decision_reason_brief
2026-03-30T22:17:35Z,carbon_first,us-east,us-east,false,68.999,200,280.000,zone-10:eligible;zone-09:eligible;zone-08:eligible;zone-07:eligible;zone-06:eligible;zone-05:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible,0.000,0.00,score-win,local-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,134.553,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,131.357,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,132.317,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,127.602,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,133.026,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,126.560,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:35Z,carbon_first,us-east,us-west,true,130.196,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,124.665,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,128.691,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,123.693,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,130.675,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,128.816,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,125.505,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,131.853,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:36Z,carbon_first,us-east,us-west,true,127.611,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:37Z,carbon_first,us-east,us-west,true,122.857,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
2026-03-30T22:17:37Z,carbon_first,us-east,us-west,true,130.928,200,225.000,zone-06:eligible;zone-10:eligible;zone-09:eligible;zone-04:eligible;zone-03:eligible;zone-05:eligible;zone-08:eligible;zone-02:eligible;zone-07:eligible;zone-01:eligible,20.000,8.16,score-win,reroute-green
