timestamp_utc,scenario,request_region,selected_region,cross_region_reroute,latency_ms,http_code,selected_carbon_intensity_g_per_kwh,zone_carbon_intensity_g_per_kwh,eligible_zone_carbon_intensity_g_per_kwh,zone_filter_reasons,carbon_saved_vs_worst_g_per_kwh,carbon_saved_vs_worst_percent,decision_reason
2026-02-26T03:06:56Z,carbon_first,us-east,us-west,true,39.367,200,300.000,us-west:300.000;us-east:430.000,us-west:300.000;us-east:430.000,us-west:eligible;us-east:eligible,130.000,30.23,score-win
2026-02-26T03:06:56Z,carbon_first,us-east,us-west,true,48.241,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:56Z,carbon_first,us-east,us-west,true,43.757,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,43.552,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,52.650,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,52.705,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,42.811,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,49.165,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,47.486,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,53.157,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,47.988,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,42.357,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,55.164,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,50.047,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,46.057,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,48.156,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,48.884,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,46.772,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,43.857,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,45.755,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,51.148,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,42.049,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,43.571,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:57Z,carbon_first,us-east,us-west,true,51.457,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,43.477,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,44.789,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,43.515,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,45.051,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,43.921,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,49.625,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,48.915,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,50.737,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,48.363,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,us-west,true,47.000,200,314.226,us-west:314.226;us-east:450.391,us-west:314.226;us-east:450.391,us-west:eligible;us-east:eligible,136.165,30.23,score-win
2026-02-26T03:06:58Z,carbon_first,us-east,,false,48.667,599,,,,,,,
