timestamp_utc,scenario,request_id,request_region,routing_input_region,selected_zone_region,route_relation,cross_region_reroute,latency_ms,http_code,selected_zone,selected_carbon_intensity_g_per_kwh,carbon_saved_vs_worst_g_per_kwh,carbon_saved_vs_worst_percent,decision_reason
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000001,us-east,us-east,us-east,local,false,28.065,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000002,us-east,us-east,us-east,local,false,27.391,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000003,us-east,us-east,us-east,local,false,29.646,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000004,us-east,us-east,us-east,local,false,31.524,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000005,us-east,us-east,us-east,local,false,26.136,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000006,us-west,us-west,us-west,local,false,49.826,200,us-west,300.000,130.000,30.23,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000007,us-west,us-west,us-west,local,false,47.077,200,us-west,300.000,130.000,30.23,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000008,us-west,us-west,us-west,local,false,53.212,200,us-west,300.000,130.000,30.23,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000009,us-west,us-west,us-west,local,false,54.967,200,us-west,300.000,130.000,30.23,fallback-lowest-latency
2026-02-25T05:06:34Z,baseline_no_carbon_balanced,req-000010,us-west,us-west,us-west,local,false,46.123,200,us-west,300.000,130.000,30.23,fallback-lowest-latency
2026-02-25T05:06:38Z,baseline_no_carbon_latency_first,req-000001,us-east,us-east,us-east,local,false,25.804,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
2026-02-25T05:06:38Z,baseline_no_carbon_latency_first,req-000002,us-east,us-east,us-east,local,false,29.920,200,us-east,430.000,0.000,0.00,fallback-lowest-latency
