timestamp_utc,scenario,request_region,selected_region,cross_region_reroute,latency_ms,http_code,selected_carbon_intensity_g_per_kwh,zone_filter_reasons,carbon_saved_vs_worst_g_per_kwh,carbon_saved_vs_worst_percent,decision_reason,decision_reason_brief
2026-03-10T16:03:13Z,carbon_first,us-east,us-east,false,71.998,200,280.000,zone-10:eligible;zone-09:eligible;zone-08:eligible;zone-07:eligible;zone-06:eligible;zone-05:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible,0.000,0.00,score-win,local-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,122.418,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:share-cap,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,125.851,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,137.341,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,137.059,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,126.523,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,130.109,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:14Z,carbon_first,us-east,us-west,true,131.987,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:15Z,carbon_first,us-east,us-west,true,127.411,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:15Z,carbon_first,us-east,us-west,true,125.703,200,100.000,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-02:eligible;zone-01:eligible;zone-07:eligible;zone-10:eligible,581.074,85.32,score-win,reroute-green
2026-03-10T16:03:15Z,carbon_first,us-east,us-west,true,129.766,200,151.903,zone-06:eligible;zone-09:eligible;zone-05:eligible;zone-08:eligible;zone-04:eligible;zone-03:eligible;zone-01:eligible;zone-02:eligible;zone-07:eligible;zone-10:eligible,502.677,76.79,score-win,reroute-green
